UniProt_ID,definition,n,rho
SERC_HUMAN,D_MAD,366,-0.09158424269153574
SERC_HUMAN,D_pair,366,-0.1136279247321221
SHOC2_HUMAN,D_std,578,-0.33428620595166525
SHOC2_HUMAN,D_u,578,-0.42071649177414877
SHOC2_HUMAN,D_MAD,578,-0.3004117138109865
SHOC2_HUMAN,D_pair,578,-0.33269313064322875
SOX30_HUMAN,D_std,57,-0.096515961807293
SOX30_HUMAN,D_u,57,-0.23195592298683543
SOX30_HUMAN,D_MAD,57,-0.19935180694313606
SOX30_HUMAN,D_pair,57,-0.12082320537863943
SPA_STAAU,D_std,55,0.06414372817046197
SPA_STAAU,D_u,55,-0.014827374734566858
SPA_STAAU,D_MAD,55,-0.019950214667190935
SPA_STAAU,D_pair,55,0.04343591041464354
SPG1_STRSG,D_std,55,0.030230880230880237
SPG1_STRSG,D_u,55,-0.15245310245310248
SPG1_STRSG,D_MAD,55,0.038383838383838395
SPG1_STRSG,D_pair,55,-0.007720057720057722
SPG2_STRSG,D_std,56,-0.023583293513298655
SPG2_STRSG,D_u,56,-0.08852279739049784
SPG2_STRSG,D_MAD,56,-0.0686308019923242
SPG2_STRSG,D_pair,56,-0.08852279739049784
SPIKE_SARS2,D_std,201,0.08862228373055991
SPIKE_SARS2,D_u,201,0.08040665127126663
SPIKE_SARS2,D_MAD,201,0.0908367140282937
SPIKE_SARS2,D_pair,201,0.0998141341542415
SPTN1_CHICK,D_std,60,0.15566299901775119
SPTN1_CHICK,D_u,60,0.08630654675993128
SPTN1_CHICK,D_MAD,60,-0.01839502059081601
SPTN1_CHICK,D_pair,60,0.1376847840294461
SRBS1_HUMAN,D_std,67,-0.3079379018296184
SRBS1_HUMAN,D_u,67,-0.40090593478867703
SRBS1_HUMAN,D_MAD,67,-0.1918825080348374
SRBS1_HUMAN,D_pair,67,-0.3441353716273716
SRC_HUMAN,D_std,247,-6.370746804959109e-06
SRC_HUMAN,D_u,247,-0.09145007952681146
SRC_HUMAN,D_MAD,247,-0.02749853224025537
SRC_HUMAN,D_pair,247,-0.008966029784629325
SUMO1_HUMAN,D_std,96,-0.21112460068717215
SUMO1_HUMAN,D_u,96,-0.2713528984930732
SUMO1_HUMAN,D_MAD,96,-0.2604602581466456
SUMO1_HUMAN,D_pair,96,-0.26800914277029064
SYUA_HUMAN,D_std,139,-0.11730718960353063
SYUA_HUMAN,D_u,139,-0.1730584904982605
SYUA_HUMAN,D_MAD,139,-0.014792985341402108
SYUA_HUMAN,D_pair,139,-0.08520768493657335
TADBP_HUMAN,D_std,84,0.45326880456682633
TADBP_HUMAN,D_u,84,0.28920590898960924
TADBP_HUMAN,D_MAD,84,0.37762613035938447
TADBP_HUMAN,D_pair,84,0.45444328592247657
TAT_HV1BR,D_std,83,0.292761000219942
TAT_HV1BR,D_u,83,0.2799044945641102
TAT_HV1BR,D_MAD,83,0.23615039490765072
TAT_HV1BR,D_pair,83,0.28203500121564806
TNKS2_HUMAN,D_std,59,0.056109999031071674
TNKS2_HUMAN,D_u,59,0.009293218589521245
TNKS2_HUMAN,D_MAD,59,0.10333591488222366
TNKS2_HUMAN,D_pair,59,0.09211391507600933
TPK1_HUMAN,D_std,241,-0.09873472521377438
TPK1_HUMAN,D_u,241,-0.10813431701035305
TPK1_HUMAN,D_MAD,241,-0.12863113735961962
TPK1_HUMAN,D_pair,241,-0.10205540559580022
TPMT_HUMAN,D_std,241,-0.013019074014863456
TPMT_HUMAN,D_u,241,-0.13099663587639931
TPMT_HUMAN,D_MAD,241,0.06133766690964396
TPMT_HUMAN,D_pair,241,-0.007101313099016431
TRPC_SACS2,D_std,80,-0.11737260112266762
TRPC_SACS2,D_u,80,-0.015521506580744302
TRPC_SACS2,D_MAD,80,-0.021019683760781366
TRPC_SACS2,D_pair,80,-0.09448892978912315
TRPC_THEMA,D_std,80,-0.05410505718680701
TRPC_THEMA,D_u,80,0.044036546761445826
TRPC_THEMA,D_MAD,80,-0.10714348521330219
TRPC_THEMA,D_pair,80,-0.07253078290120489
UBC9_HUMAN,D_std,158,-0.016224752005627747
UBC9_HUMAN,D_u,158,-0.11449517681158458
UBC9_HUMAN,D_MAD,158,0.012213062269215149
UBC9_HUMAN,D_pair,158,-0.01502139721552446
UBE4B_HUMAN,D_std,69,-0.13066116175058598
UBE4B_HUMAN,D_u,69,-0.19248406043123237
UBE4B_HUMAN,D_MAD,69,-0.09465261172116694
UBE4B_HUMAN,D_pair,69,-0.11343332680500397
UBE4B_MOUSE,D_std,102,0.024749857930938125
UBE4B_MOUSE,D_u,102,0.057229452163359555
UBE4B_MOUSE,D_MAD,102,0.04932442557266924
UBE4B_MOUSE,D_pair,102,0.060356404741794274
UBR5_HUMAN,D_std,58,-0.10618761248314464
UBR5_HUMAN,D_u,58,-0.2401218143231249
UBR5_HUMAN,D_MAD,58,-0.23366196535978176
UBR5_HUMAN,D_pair,58,-0.12725902457785904
VILI_CHICK,D_std,65,-0.1358858366984593
VILI_CHICK,D_u,65,-0.22454599100621894
VILI_CHICK,D_MAD,65,-0.03013614808735532
VILI_CHICK,D_pair,65,-0.10579339585996163
VKOR1_HUMAN,D_std,162,-0.09529064996104099
VKOR1_HUMAN,D_u,162,-0.10569346073819753
VKOR1_HUMAN,D_MAD,162,-0.08605923152482053
VKOR1_HUMAN,D_pair,162,-0.10257445221594601
VRPI_BPT7,D_std,56,-0.22725020109499305
VRPI_BPT7,D_u,56,-0.25387494265808525
VRPI_BPT7,D_MAD,56,-0.268195567452611
VRPI_BPT7,D_pair,56,-0.23432506823691868
YAIA_ECOLI,D_std,52,0.05874316961303106
YAIA_ECOLI,D_u,52,0.03022540994623982
YAIA_ECOLI,D_MAD,52,0.08632172162612559
YAIA_ECOLI,D_pair,52,0.0730447407034129
